Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_57_956.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_023.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_090.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_156.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_223.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_290.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_356.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_423.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_490.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_556.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_623.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_690.jpg;0;0;0;0;99.66999;85.58897;0.0002375597;54.71369;2.984677E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_757.jpg;0;0.0997231;0;0;99.67006;85.58907;0.002682059;54.71394;-3.97653E-07
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_823.jpg;0;0.29997;0;0.01003666;99.67101;85.59042;0.03741091;54.74698;7.809863E-06
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_890.jpg;0;0.4996051;0;0.02847455;99.67287;85.59306;0.1046091;54.68086;0.0001071287
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_58_957.jpg;0;0.6996871;0;0.04202035;99.67602;85.59753;0.2122931;54.79259;-0.0002311942
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_023.jpg;0;0.8996819;0;0.1016567;99.68129;85.60495;0.3866844;54.62854;0.0004277103
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_090.jpg;0;1;0;0.1522835;99.69114;85.61872;0.6610421;54.57488;-0.0002002632
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_156.jpg;0;1;0;0.2057328;99.70074;85.63219;0.8963285;54.66359;-0.000991059
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_223.jpg;0;1;0;0.2735812;99.71728;85.65541;1.258203;54.76607;-0.002280419
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_290.jpg;0;1;0;0.308569;99.72906;85.67212;1.321694;54.79836;-0.002090941
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_356.jpg;0;1;0;0.3845039;99.7408;85.68893;1.170851;54.77572;0.0003297054
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_423.jpg;0;1;0;0.4445025;99.76139;85.71774;1.102413;54.60699;0.000331112
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_490.jpg;0;1;0;0.4913083;99.7794;85.74298;1.118194;54.58268;0.0006435211
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_557.jpg;-1.496791;1;0;0.5409172;99.79964;85.77103;1.17854;54.60542;-0.0005289446
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_623.jpg;-4.499593;1;0;0.5978644;99.82948;85.81042;1.225274;54.24955;0.0004020592
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_690.jpg;-7.507439;1;0;0.6557747;99.85427;85.84154;1.215467;53.92574;0.002142894
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_756.jpg;-4.514984;1;0;0.7151077;99.88091;85.87461;1.190524;53.52549;0.003015726
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_823.jpg;-1.516451;1;0;0.7615879;99.90939;85.91089;1.193643;53.20682;0.00111076
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_890.jpg;0;1;0;0.8148998;99.9498;85.96412;1.223102;53.12649;-0.000779753
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_15_59_956.jpg;0;1;0;0.8742338;99.98205;86.00678;1.233139;53.11942;-0.0009831612
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_023.jpg;0;1;0;0.9455902;100.0161;86.05186;1.234204;53.11472;-0.0008916265
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_090.jpg;0;1;0;0.9882331;100.0642;86.11537;1.215135;53.10536;-0.0008149234
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_156.jpg;0;1;0;1.032606;100.1023;86.16579;1.218417;53.09913;-0.0007795115
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_223.jpg;0;1;0;1.101612;100.156;86.23666;1.223349;53.08846;-0.0008243729
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_290.jpg;-1.496072;1;0;1.148424;100.1982;86.29198;1.216364;53.02098;-0.000542989
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_357.jpg;-4.494508;1;0;1.19774;100.2434;86.34911;1.227362;52.73944;0.000555614
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_423.jpg;-4.502163;1;0;1.251623;100.2912;86.40731;1.226752;52.27542;0.001962502
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_490.jpg;-1.501656;1;0;1.30141;100.3574;86.48882;1.236644;51.90748;0.0006930254
/Users/Abishalini/Desktop/UDACITY/Roverism Data/Data Set 1/IMG/robocam_2018_01_21_11_16_00_557.jpg;0;1;0;1.347849;100.4085;86.55297;1.242163;51.84146;-0.0005952735
